product_category_name,product_category_name_english,nome_exibicao
beleza_saude,health_beauty,Beleza e Saúde
informatica_acessorios,computers_accessories,Informática e Acessórios
automotivo,auto,Automotivo
cama_mesa_banho,bed_bath_table,"Cama, Mesa e Banho"
moveis_decoracao,furniture_decor,Móveis e Decoração
esporte_lazer,sports_leisure,Esporte e Lazer
perfumaria,perfumery,Perfumaria
utilidades_domesticas,housewares,Utilidades Domésticas
telefonia,telephony,Telefonia
relogios_presentes,watches_gifts,Relógios e Presentes
alimentos_bebidas,food_drink,Alimentos e Bebidas
bebes,baby,Bebês
papelaria,stationery,Papelaria
tablets_impressao_imagem,tablets_printing_image,"Tablets, Impressão e Imagem"
brinquedos,toys,Brinquedos
telefonia_fixa,fixed_telephony,Telefonia Fixa
ferramentas_jardim,garden_tools,Ferramentas e Jardim
fashion_bolsas_e_acessorios,fashion_bags_accessories,Fashion - Bolsas e Acessórios
eletroportateis,small_appliances,Eletroportáteis
consoles_games,consoles_games,Consoles e Games
audio,audio,Áudio
fashion_calcados,fashion_shoes,Fashion - Calçados
cool_stuff,cool_stuff,Cool Stuff
malas_acessorios,luggage_accessories,Malas e Acessórios
climatizacao,air_conditioning,Climatização
construcao_ferramentas_construcao,construction_tools_construction,Construção e Ferramentas - Construção
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,"Móveis de Cozinha, Área de Serviço, Jantar e Jardim"
construcao_ferramentas_jardim,costruction_tools_garden,Construção e Ferramentas - Jardim
fashion_roupa_masculina,fashion_male_clothing,Fashion - Roupa Masculina
pet_shop,pet_shop,Pet Shop
moveis_escritorio,office_furniture,Móveis para Escritório
market_place,market_place,Market Place
eletronicos,electronics,Eletrônicos
eletrodomesticos,home_appliances,Eletrodomésticos
artigos_de_festas,party_supplies,Artigos de Festas
casa_conforto,home_confort,Casa e Conforto
construcao_ferramentas_ferramentas,costruction_tools_tools,Construção e Ferramentas - Ferramentas
agro_industria_e_comercio,agro_industry_and_commerce,"Agro, Indústria e Comércio"
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,"Móveis, Colchão e Estofado"
livros_tecnicos,books_technical,Livros Técnicos
casa_construcao,home_construction,Casa e Construção
instrumentos_musicais,musical_instruments,Instrumentos Musicais
moveis_sala,furniture_living_room,Móveis de Sala
construcao_ferramentas_iluminacao,construction_tools_lights,Construção e Ferramentas - Iluminação
industria_comercio_e_negocios,industry_commerce_and_business,"Indústria, Comércio e Negócios"
alimentos,food,Alimentos
artes,art,Artes
moveis_quarto,furniture_bedroom,Móveis de Quarto
livros_interesse_geral,books_general_interest,Livros de Interesse Geral
construcao_ferramentas_seguranca,construction_tools_safety,Construção e Ferramentas - Segurança
fashion_underwear_e_moda_praia,fashion_underwear_beach,Fashion - Roupa Íntima e Moda Praia
fashion_esporte,fashion_sport,Fashion - Esporte
sinalizacao_e_seguranca,signaling_and_security,Sinalização e Segurança
pcs,computers,PCs
artigos_de_natal,christmas_supplies,Artigos de Natal
fashion_roupa_feminina,fashio_female_clothing,Fashion - Roupa Feminina
eletrodomesticos_2,home_appliances_2,Eletrodomésticos 2
livros_importados,books_imported,Livros Importados
bebidas,drinks,Bebidas
cine_foto,cine_photo,Cine e Foto
la_cuisine,la_cuisine,La Cuisine
musica,music,Música
casa_conforto_2,home_comfort_2,Casa e Conforto 2
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,"Portáteis de Casa, Forno e Café"
cds_dvds_musicais,cds_dvds_musicals,CDs e DVDs Musicais
dvds_blu_ray,dvds_blu_ray,DVDs e Blu-ray
flores,flowers,Flores
artes_e_artesanato,arts_and_craftmanship,Artes e Artesanato
fraldas_higiene,diapers_and_hygiene,Fraldas e Higiene
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Fashion - Roupa Infanto - Juvenil
seguros_e_servicos,security_and_services,Seguros e Serviços
nao_informado,nao_informado,Não informado
pc_gamer,pc_gamer,PC Gamer
portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,Portáteis de Cozinha e Preparadores de Alimentos
